"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Amyelois.transitella_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",378,100,99.794,0.971,0.418,NA
"Amyelois.transitella_PA2_RUN1_SRE","PA2","RUN1","SRE","TSS",505,74.286,86.536,0.608,0.481,NA
"Amyelois.transitella_PA2_RUN1_SRE","PA2","RUN1","SRE","AUCroc",500,74.286,86.536,0.804,0.741,NA
"Amyelois.transitella_PA2_RUN1_SRE","PA2","RUN1","SRE","KAPPA",505,74.286,86.536,0.227,0.471,NA
"Amyelois.transitella_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","TSS",489,100,90.134,0.901,0.528,NA
"Amyelois.transitella_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","AUCroc",538,97.143,91.881,0.973,0.698,NA
"Amyelois.transitella_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","KAPPA",787,68.571,96.608,0.5,0.54,NA
"Amyelois.transitella_PA2_RUN2_CTA","PA2","RUN2","CTA","TSS",523.5,94.444,92.021,0.865,0.047,NA
"Amyelois.transitella_PA2_RUN2_CTA","PA2","RUN2","CTA","AUCroc",522,94.444,92.021,0.953,0.523,NA
"Amyelois.transitella_PA2_RUN2_CTA","PA2","RUN2","CTA","KAPPA",866,83.333,94.093,0.46,0.026,NA
"Amyelois.transitella_PA2_RUN2_ANN","PA2","RUN2","ANN","TSS",403,97.222,86.218,0.834,-0.034,NA
"Amyelois.transitella_PA2_RUN2_ANN","PA2","RUN2","ANN","AUCroc",458,91.667,90.052,0.944,0.512,NA
"Amyelois.transitella_PA2_RUN2_ANN","PA2","RUN2","ANN","KAPPA",782,86.111,95.337,0.531,-0.021,NA
"Amyelois.transitella_PA2_RUN2_FDA","PA2","RUN2","FDA","TSS",326,83.333,86.01,0.692,0.047,NA
"Amyelois.transitella_PA2_RUN2_FDA","PA2","RUN2","FDA","AUCroc",312.5,86.111,83.938,0.928,0.638,NA
"Amyelois.transitella_PA2_RUN2_FDA","PA2","RUN2","FDA","KAPPA",684,61.111,98.238,0.571,0.213,NA
"Amyelois.transitella_PA2_RUN2_GAM","PA2","RUN2","GAM","TSS",646,100,95.855,0.959,0.265,NA
"Amyelois.transitella_PA2_RUN2_GAM","PA2","RUN2","GAM","AUCroc",755,97.222,97.098,0.986,0.612,NA
"Amyelois.transitella_PA2_RUN2_GAM","PA2","RUN2","GAM","KAPPA",848,86.111,97.824,0.691,0.166,NA
"Amyelois.transitella_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",527,100,97.927,0.979,0.236,NA
"Amyelois.transitella_PA2_RUN2_GBM","PA2","RUN2","GBM","AUCroc",533.5,100,98.031,0.995,0.682,NA
"Amyelois.transitella_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",728,75,99.689,0.812,0.143,NA
"Amyelois.transitella_PA2_RUN2_MARS","PA2","RUN2","MARS","TSS",333,97.222,86.943,0.869,-0.016,NA
"Amyelois.transitella_PA2_RUN2_MARS","PA2","RUN2","MARS","AUCroc",471.5,94.444,90.259,0.967,0.486,NA
"Amyelois.transitella_PA2_RUN2_MARS","PA2","RUN2","MARS","KAPPA",899,63.889,97.617,0.543,0.015,NA
"Amyelois.transitella_PA2_RUN2_MAXNET","PA2","RUN2","MAXNET","TSS",292,88.889,89.637,0.784,-0.034,NA
"Amyelois.transitella_PA2_RUN2_MAXNET","PA2","RUN2","MAXNET","AUCroc",293,88.889,89.637,0.952,0.681,NA
"Amyelois.transitella_PA2_RUN2_MAXNET","PA2","RUN2","MAXNET","KAPPA",655,55.556,98.86,0.583,0.265,NA
"Amyelois.transitella_PA2_RUN2_RF","PA2","RUN2","RF","TSS",384,100,99.896,0.999,0.182,NA
"Amyelois.transitella_PA2_RUN2_RF","PA2","RUN2","RF","AUCroc",384,100,99.896,1,0.514,NA
"Amyelois.transitella_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",384,100,99.896,0.986,0.253,NA
"Amyelois.transitella_PA2_RUN2_SRE","PA2","RUN2","SRE","TSS",505,80.556,89.741,0.703,0.169,NA
"Amyelois.transitella_PA2_RUN2_SRE","PA2","RUN2","SRE","AUCroc",500,80.556,89.741,0.851,0.584,NA
"Amyelois.transitella_PA2_RUN2_SRE","PA2","RUN2","SRE","KAPPA",505,80.556,89.741,0.315,0.15,NA
"Amyelois.transitella_PA2_RUN2_XGBOOST","PA2","RUN2","XGBOOST","TSS",528,100,90.466,0.905,0.218,NA
"Amyelois.transitella_PA2_RUN2_XGBOOST","PA2","RUN2","XGBOOST","AUCroc",595.5,97.222,90.881,0.976,0.682,NA
"Amyelois.transitella_PA2_RUN2_XGBOOST","PA2","RUN2","XGBOOST","KAPPA",749.5,80.556,96.891,0.592,0.137,NA
"Amyelois.transitella_PA2_RUN3_CTA","PA2","RUN3","CTA","TSS",403,97.143,88.829,0.86,0.103,NA
"Amyelois.transitella_PA2_RUN3_CTA","PA2","RUN3","CTA","AUCroc",401.5,97.143,88.829,0.945,0.581,NA
"Amyelois.transitella_PA2_RUN3_CTA","PA2","RUN3","CTA","KAPPA",842,77.143,93.601,0.416,0.059,NA
"Amyelois.transitella_PA2_RUN3_ANN","PA2","RUN3","ANN","TSS",667,94.286,83.08,0.774,0.244,NA
"Amyelois.transitella_PA2_RUN3_ANN","PA2","RUN3","ANN","AUCroc",667.5,94.286,83.08,0.908,0.79,NA
"Amyelois.transitella_PA2_RUN3_ANN","PA2","RUN3","ANN","KAPPA",866,60,95.662,0.41,0.371,NA
